,ID,year,month,monthly_rainfall
0,ALT,2000,1,.77
1,ALT,2000,2,.33
2,ALT,2000,3,.51
3,ALT,2000,4,2.10
4,ALT,2000,5,.89
5,ALT,2000,6,1.40
6,ALT,2000,7,.77
7,ALT,2000,8,1.81
8,ALT,2000,9,.08
9,ALT,2000,10,.41
10,ALT,2000,11,.00
11,ALT,2000,12,.15
12,APU,2000,1,1.38
13,APU,2000,2,5.36
14,APU,2000,3,.65
15,APU,2000,4,7.50
16,APU,2000,5,13.67
17,APU,2000,6,4.26
18,APU,2000,7,2.60
19,APU,2000,8,1.99
20,APU,2000,9,.28
21,APU,2000,10,.00
22,APU,2000,11,.00
23,APU,2000,12,.49
24,ASM,2000,1,.00
25,ASM,2000,2,2.02
26,ASM,2000,3,.11
27,ASM,2000,4,5.57
28,ASM,2000,5,11.34
29,ASM,2000,6,3.28
30,ASM,2000,7,2.55
31,ASM,2000,8,1.24
32,ASM,2000,9,.47
33,ASM,2000,10,.00
34,ASM,2000,11,.06
35,ASM,2000,12,.97
36,ATW,2000,1,.60
37,ATW,2000,2,3.00
38,ATW,2000,3,.30
39,ATW,2000,4,7.80
40,ATW,2000,5,14.10
41,ATW,2000,6,3.40
42,ATW,2000,7,3.00
43,ATW,2000,8,.50
44,ATW,2000,9,.30
45,ATW,2000,10,.00
46,ATW,2000,11,.00
47,ATW,2000,12,.00
48,ABR,2000,1,.02
49,ABR,2000,2,2.26
50,ABR,2000,3,.06
51,ABR,2000,4,8.60
52,ABR,2000,5,11.78
53,ABR,2000,6,2.44
54,ABR,2000,7,3.57
55,ABR,2000,8,.68
56,ABR,2000,9,1.07
57,ABR,2000,10,.00
58,ABR,2000,11,.00
59,ABR,2000,12,.82
60,AUB,2000,1,.88
61,AUB,2000,2,3.96
62,AUB,2000,3,.87
63,AUB,2000,4,11.18
64,AUB,2000,5,15.16
65,AUB,2000,6,2.77
66,AUB,2000,7,2.01
67,AUB,2000,8,2.19
68,AUB,2000,9,.59
69,AUB,2000,10,.00
70,AUB,2000,11,.00
71,AUB,2000,12,.70
72,BFK,2000,1,.00
73,BFK,2000,2,.36
74,BFK,2000,3,.13
75,BFK,2000,4,1.52
76,BFK,2000,5,1.62
77,BFK,2000,6,1.29
78,BFK,2000,7,.57
79,BFK,2000,8,.08
80,BFK,2000,9,.06
81,BFK,2000,10,.00
82,BFK,2000,11,.00
83,BFK,2000,12,.00
84,BRT,2000,1,.00
85,BRT,2000,2,.00
86,BRT,2000,3,.28
87,BRT,2000,4,.92
88,BRT,2000,5,4.73
89,BRT,2000,6,1.58
90,BRT,2000,7,.42
91,BRT,2000,8,.00
92,BRT,2000,9,.05
93,BRT,2000,10,.00
94,BRT,2000,11,.06
95,BRT,2000,12,.19
96,BFS,2000,1,.00
97,BFS,2000,2,.00
98,BFS,2000,3,.00
99,BFS,2000,4,.00
100,BFS,2000,5,.54
101,BFS,2000,6,.11
102,BFS,2000,7,.13
103,BFS,2000,8,.00
104,BFS,2000,9,.00
105,BFS,2000,10,.00
106,BFS,2000,11,.32
107,BFS,2000,12,.00
108,BRM,2000,1,.00
109,BRM,2000,2,2.30
110,BRM,2000,3,.10
111,BRM,2000,4,12.20
112,BRM,2000,5,16.50
113,BRM,2000,6,4.40
114,BRM,2000,7,2.90
115,BRM,2000,8,1.40
116,BRM,2000,9,.70
117,BRM,2000,10,.10
118,BRM,2000,11,.50
119,BRM,2000,12,.70
120,BGB,2000,1,1.92
121,BGB,2000,2,5.62
122,BGB,2000,3,2.58
123,BGB,2000,4,9.53
124,BGB,2000,5,8.10
125,BGB,2000,6,2.39
126,BGB,2000,7,2.73
127,BGB,2000,8,1.97
128,BGB,2000,9,.29
129,BGB,2000,10,.00
130,BGB,2000,11,.00
131,BGB,2000,12,.50
132,BBE,2000,1,.00
133,BBE,2000,2,.00
134,BBE,2000,3,.00
135,BBE,2000,4,.70
136,BBE,2000,5,4.38
137,BBE,2000,6,.87
138,BBE,2000,7,.88
139,BBE,2000,8,.02
140,BBE,2000,9,.02
141,BBE,2000,10,.02
142,BBE,2000,11,1.14
143,BBE,2000,12,.01
144,BGC,2000,1,.00
145,BGC,2000,2,2.48
146,BGC,2000,3,.05
147,BGC,2000,4,9.71
148,BGC,2000,5,12.17
149,BGC,2000,6,1.72
150,BGC,2000,7,3.28
151,BGC,2000,8,1.95
152,BGC,2000,9,1.06
153,BGC,2000,10,.00
154,BGC,2000,11,.00
155,BGC,2000,12,.50
156,BGS,2000,1,.18
157,BGS,2000,2,4.26
158,BGS,2000,3,.38
159,BGS,2000,4,17.59
160,BGS,2000,5,20.18
161,BGS,2000,6,3.01
162,BGS,2000,7,2.66
163,BGS,2000,8,1.96
164,BGS,2000,9,.01
165,BGS,2000,10,.00
166,BGS,2000,11,.00
167,BGS,2000,12,1.25
168,BIS,2000,1,.00
169,BIS,2000,2,.01
170,BIS,2000,3,.00
171,BIS,2000,4,.36
172,BIS,2000,5,1.15
173,BIS,2000,6,.38
174,BIS,2000,7,.37
175,BIS,2000,8,.00
176,BIS,2000,9,.00
177,BIS,2000,10,.00
178,BIS,2000,11,.27
179,BIS,2000,12,.00
180,BYM,2000,1,3.42
181,BYM,2000,2,7.10
182,BYM,2000,3,1.66
183,BYM,2000,4,18.29
184,BYM,2000,5,23.07
185,BYM,2000,6,4.37
186,BYM,2000,7,3.24
187,BYM,2000,8,4.41
188,BYM,2000,9,1.08
189,BYM,2000,10,.00
190,BYM,2000,11,.02
191,BYM,2000,12,1.65
192,BLY,2000,1,.00
193,BLY,2000,2,.00
194,BLY,2000,3,.00
195,BLY,2000,4,.00
196,BLY,2000,5,.00
197,BLY,2000,6,.49
198,BLY,2000,7,.00
199,BLY,2000,8,.00
200,BLY,2000,9,.02
201,BLY,2000,10,.00
202,BLY,2000,11,.14
203,BLY,2000,12,.00
204,BCA,2000,1,1.04
205,BCA,2000,2,.99
206,BCA,2000,3,.66
207,BCA,2000,4,6.96
208,BCA,2000,5,5.66
209,BCA,2000,6,.51
210,BCA,2000,7,1.23
211,BCA,2000,8,1.20
212,BCA,2000,9,.20
213,BCA,2000,10,.00
214,BCA,2000,11,.51
215,BCA,2000,12,.43
216,BDE,2000,1,.09
217,BDE,2000,2,.17
218,BDE,2000,3,.00
219,BDE,2000,4,1.47
220,BDE,2000,5,1.35
221,BDE,2000,6,.50
222,BDE,2000,7,.62
223,BDE,2000,8,.13
224,BDE,2000,9,.96
225,BDE,2000,10,.00
226,BDE,2000,11,1.19
227,BDE,2000,12,.05
228,BOW,2000,1,3.19
