ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
ACS,AUSTIN CREEK,RUSSIAN RIVER,SONOMA,-123.014583,38.564004,1,Center for Western Weather and Water Extremes,North Coast
ALD,ALDER POINT,EEL RIVER,HUMBOLDT,-123.712,40.232,923,CA Dept of Forestry and Fire Protection,North Coast
ARC,MAD RIVER NEAR ARCATA,MAD RIVER,HUMBOLDT,-124.060616,40.909851,33,USGS/DWR,North Coast
BBS,BEAR BASIN,TRINITY RIVER,TRINITY,-122.867,40.967,"6,500",Weaverville Ranger District,North Coast
BBY,BODEGA BAY UC DAVIS BODEGA MARINE LAB,RUSSIAN RIVER,SONOMA,-123.072861,38.318328,43,Center for Western Weather and Water Extremes,North Coast
BCW,BULL CREEK NEAR WEOTT,EEL RIVER,HUMBOLDT,-124.005043,40.351528,269,US Geological Survey,North Coast
BFL,BIG FLAT,TRINITY RIVER,TRINITY,-122.94223,41.077599,"5,100",US Bureau of Reclamation,North Coast
BFT,BIG FLAT (COURSE),TRINITY RIVER,TRINITY,-122.938,41.077,"5,100",Weaverville Ranger District,North Coast
BGB,BIG BAR,TRINITY RIVER,TRINITY,-123.2,40.733,"1,270",US Forest Service,North Coast
BGG,BIG SPRINGS CREEK NEAR GRENADA,SHASTA RIVER,SISKIYOU,-122.431361,41.599233,"2,578",CA Dept of Water Resources/North Region Office,North Coast
BGV,BRIDGEVILLE,VAN DUZEN RIVER,HUMBOLDT,-123.792809,40.473881,646,USGS/DWR-DFM-Hydro-SMN,North Coast
BNK,BONANZA KING,TRINITY RIVER,TRINITY,-122.631271,41.083118,"6,450",US Bureau of Reclamation,North Coast
BNV,BOONVILLE,NAVARRO RIVER,MENDOCINO,-123.3486,38.9875,840,CA Dept of Forestry and Fire Protection,North Coast
BOY,BOYES CREEK CANYON,RUSSIAN RIVER,MENDOCINO,-123.16349,39.34053,"1,139",Center for Western Weather and Water Extremes,North Coast
BRI,VAN DUZEN R NR BRIDGEVILLE AT GRIZZLY CR,VAN DUZEN RIVER,HUMBOLDT,-123.890877,40.480415,358,USGS/DWR,North Coast
BXC,BOX CAMP,SCOTT RIVER,SISKIYOU,-123.165,41.597,"6,450",Salmon/Scott River Ranger District,North Coast
BZR,BRAZIE RANCH,KLAMATH RIVER,SISKIYOU,-122.6,41.687,"3,020",CA Dept of Forestry and Fire Protection,North Coast
CAL,CALLAHAN,SCOTT RIVER,SISKIYOU,-122.8,41.317,"3,185",National Weather Service,North Coast
CDM,EF RUSSIAN R BLW COYOTE DAM,RUSSIAN RIVER,MENDOCINO,-123.1864,39.1975,614,US Army Corps of Engineers,North Coast
CDW,LAKE MENDOCINO WEATHER,RUSSIAN RIVER,MENDOCINO,-123.1853,39.2031,670,US Army Corps of Engineers,North Coast
CEC,CRESCENT CITY MC NAMARA FIELD,SMITH RIVER,DEL NORTE,-124.24,41.78,56,National Weather Service,North Coast
CFF,COFFEE CREEK RANGER STATION,TRINITY RIVER,TRINITY,-122.708611,41.089439,"2,503",CA Dept of Water Resources/DFM-Hydro-SMN,North Coast
CFR,COFFEE RIDGE,TRINITY RIVER,TRINITY,-122.717,41.083,"3,040",US Bureau of Reclamation,North Coast
CHA,CALLAHAN (USFS),SCOTT RIVER,SISKIYOU,-122.8244,41.299721,"3,136",US Forest Service,North Coast
CLB,COLLINS BALDY,KLAMATH RIVER,SISKIYOU,-122.9503,41.775,"5,493",US Forest Service,North Coast
CLE,TRINITY LAKE,TRINITY RIVER,TRINITY,-122.762,40.801,"2,370",US Bureau of Reclamation,North Coast
CLK,CLEAR LK - KLAMATH R,KLAMATH RIVER,MODOC,-121.075,41.927,"4,552",US Bureau of Reclamation,North Coast
CLO,COVELO,EEL RIVER,MENDOCINO,-123.084717,39.826111,"1,487",CA Dept of Water Resources/DFM-Hydro-SMN,North Coast
CLV,RUSSIAN RIVER AT CLOVERDALE,RUSSIAN RIVER,MENDOCINO,-123.053612,38.879349,107,CA Dept of Water Resources/DFM-Hydro-SMN,North Coast
COV,COVELO 1 NNE,EEL RIVER,MENDOCINO,-123.083,39.833,"1,514",National Weather Service,North Coast
COY,COYOTE (LAKE MENDOCINO),RUSSIAN RIVER,MENDOCINO,-123.186,39.197,720,US Army Corps of Engineers,North Coast
