ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
BCA,BOCA,TRUCKEE RIVER,NEVADA,-120.1,39.383,"5,575",National Weather Service,North Lahontan
BDE,BODIE,WALKER RIVER,MONO,-119.017,38.217,"8,370",National Weather Service,North Lahontan
BDG,BRIDGEPORT R S,WALKER RIVER,MONO,-119.233,38.25,"6,470",US Forest Service,North Lahontan
BDP,BRIDGEPORT RESERVOIR,WALKER RIVER,MONO,-119.211,38.325,"6,466",Walker River Irrigation District,North Lahontan
BFC,BUFFALO CREEK,NOT SPECIFIED,State of Nevada,-119.79,40.5819,"3,900",US Bureau of Land Management,North Lahontan
BGD,BOGARD RANGER STATION,SUSAN RIVER,LASSEN,-121.08,40.59,"5,680",CA Dept of Forestry and Fire Protection,North Lahontan
BIJ,"BIJOU, SOUTH LAKE TAHOE",TRUCKEE RIVER,EL DORADO,-119.96337,38.94191,"6,266",Center for Western Weather and Water Extremes,North Lahontan
BMW,BIG MEADOWS (SCS),TRUCKEE RIVER,State of Nevada,-119.946,39.458,"8,700",Natural Resources Conservation Service,North Lahontan
BOC,BOCA RESERVOIR,TRUCKEE RIVER,NEVADA,-120.095,39.388,"5,521",US Bureau of Reclamation,North Lahontan
BPT,BRIDGEPORT,WALKER RIVER,MONO,-119.289,38.272,"6,650",US Forest Service,North Lahontan
BRR,BARREL SPRINGS,PIT RIVER,State of Nevada,-119.9389,41.9111,"5,835",US Bureau of Land Management,North Lahontan
BSK,BURNSIDE LAKE,CARSON RIVER,ALPINE,-119.8942,38.7194,"8,129",Natural Resources Conservation Service,North Lahontan
CDV,CEDARVILLE,SURPRISE VALLEY,MODOC,-120.167,41.533,"4,670","Southern California Edison Company, Big Creek",North Lahontan
CEM,E FK CARSON R NR MARKLEEVILLE,CARSON RIVER,ALPINE,-119.7647,38.7147,"5,400",US Geological Survey,North Lahontan
CEN,CENTRAL REGION SNOW,YUBA RIVER,none specified,-120.1,38.6,"5,000",CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,North Lahontan
CVL,WEST WALKER NR HWY 395 BLW LITTLE WALKER,WALKER RIVER,MONO,-119.454,38.515,"5,520",National Weather Service,North Lahontan
DCK,DONNER CREEK AT HWY 89,TRUCKEE RIVER,NEVADA,-120.207977,39.321018,"5,870",US Geological Survey,North Lahontan
DMS,DONNER MEM ST PARK,TRUCKEE RIVER,NEVADA,-120.233,39.317,"5,937",National Weather Service,North Lahontan
