ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
07K,19N2E07K2-4M HARRIS RD NR RICHVALE,BUTTE CREEK,BUTTE,-121.787979,39.511768,93,Butte County,Sacramento River
13L,21N1E13L2-4M CHICO UNIV FARM,BUTTE CREEK,BUTTE,-121.814422,39.673446,151,Butte County,Sacramento River
24C,20N2E24C1-3M NELSON RD NR ADOBE RD,BUTTE CREEK,BUTTE,-121.70258,39.581272,150,Butte County,Sacramento River
3LK,THREE LAKES,FEATHER RIVER,PLUMAS,-121.2131,39.97304,"6,264","Pacific Gas and Electric Company, Rogers Flat",Sacramento River
8RI,8 RIVER FULL NATURAL FLOW INDEX,SACRAMENTO RIVER,CONTRA COSTA,-121.8853,38.047222,0,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,Sacramento River
8SI,NORTHERN SIERRA 8-STATION PRECIP INDEX,SACRAMENTO RIVER,PLUMAS,-120.9,39.9,0,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,Sacramento River
A25,CHILI BAR POWERHOUSE,AMERICAN RIVER,EL DORADO,-120.813286,38.771713,"1,000",Pacific Gas & Electric,Sacramento River
ABN,LAKE AUDRAIN,AMERICAN RIVER,EL DORADO,-120.03932,38.81983,"7,300",Placerville Ranger District,Sacramento River
ABY,ABBEY,FEATHER RIVER,PLUMAS,-120.538,39.955,"5,650",CA Dept of Water Resources/Beckwourth,Sacramento River
ACK,ARCADE CK NR DEL PASO HTS,AMERICAN RIVER,SACRAMENTO,-121.3825,38.6416,50,US Geological Survey,Sacramento River
ACR,ASH CK AT ADIN,PIT RIVER,MODOC,-120.943394,41.19807,"4,203",CA Dept of Water Resources/North Region Office,Sacramento River
ADI,ADIN MOUNTAIN,PIT RIVER,MODOC,-120.793,41.237,"6,200",Big Valley Ranger District,Sacramento River
ADM,ADIN MOUNTAIN,PIT RIVER,MODOC,-120.792,41.237,"6,200",Natural Resources Conservation Service,Sacramento River
ADN,ADIN RS,PIT RIVER,MODOC,-120.944,41.194,"4,195",US Forest Service,Sacramento River
ADR,AUBURN DAM RIDGE,AMERICAN RIVER,PLACER,-121.045,38.882,"1,200",US Bureau of Reclamation,Sacramento River
