ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
ABA,ARROYO DEL HAMBRE,EAST BAY,CONTRA COSTA,-122.178,37.977,800,Contra Costa County,San Francisco Bay
ACC,ALAMEDA CK BL CALAVERAS CK NR SUNOL CA,ALAMEDA CREEK,SANTA CLARA,-121.824,37.504,430,US Geological Survey,San Francisco Bay
ACD,ALAMEDA CK ABOVE DIV DAM NR SUNOL CA,ALAMEDA CREEK,SANTA CLARA,-121.773567,37.497437,930,US Geological Survey,San Francisco Bay
ACM,ARROYO CORTE MADERA DEL PRESIDIO,SAN FRANCISCO BAY,MARIN,-122.535,37.898,3,Marin County,San Francisco Bay
ACW,ALHAMBRA CREEK AT WARD STREET,EAST BAY,CONTRA COSTA,-122.13588,38.016778,6,Contra Costa County,San Francisco Bay
ACZ,ALHAMBRA CREEK AT D STREET,EAST BAY,CONTRA COSTA,-122.129669,38.003399,59,Contra Costa County,San Francisco Bay
AHD,ARROYO HONDO NR SAN JOSE CA,ALAMEDA CREEK,SANTA CLARA,-121.769394,37.461605,784,US Geological Survey,San Francisco Bay
ALC,ALAMO CREEK AT PLEASANTS VALLEY ROAD,SAN FRANCISCO BAY,SOLANO,-122.024987,38.37409,259,Solano County Water Agency,San Francisco Bay
ALN,ALAMEDA CK NR NILES,ALAMEDA CREEK,ALAMEDA,-121.960793,37.587158,86,US Geological Survey,San Francisco Bay
ANG,ANGWIN,NAPA RIVER,NAPA,-122.4332,38.5712,"1,815",CA Dept of Water Resources/DFM-Hydro-SMN,San Francisco Bay
APN,ALPINE LAKE,COAST-MARIN,MARIN,-122.637,37.94,654,Marin Municipal Water District,San Francisco Bay
APU,ANGWIN PACIFIC UNION COL,NAPA RIVER,NAPA,-122.4406,38.5731,"1,815",National Weather Service,San Francisco Bay
ATL,ATLAS PEAK,NAPA RIVER,NAPA,-122.248333,38.428333,"1,660",CA Dept of Water Resources/DFM-Hydro-SMN,San Francisco Bay
AVL,ARROYO VALLE NR LIVERMORE,EAST BAY,ALAMEDA,-121.758842,37.623264,510,US Geological Survey,San Francisco Bay
BAP,BYRON AIRPORT,DELTA,CONTRA COSTA,-121.6225,37.8306,43,Contra Costa County,San Francisco Bay
BBI,BYRON BETHANY IRRIGATION DIST DIVERSION,DELTA,CONTRA COSTA,-121.5574,37.8298,3,Byron Bethany Irrigation District,San Francisco Bay
BIF,BETHEL ISLAND MUNCIPAL IMPROVEMENT DIST,DELTA,CONTRA COSTA,-121.6384,38.01474,20,Contra Costa County,San Francisco Bay
BIO,BRIONES DAM,EAST BAY,CONTRA COSTA,-122.207,37.9151,588,East Bay Municipal Utility District,San Francisco Bay
BKD,BLACK DIAMOND MINES,EAST BAY,CONTRA COSTA,-121.884,37.95,"1,600",East Bay Regional Parks Fire-Rescue Services,San Francisco Bay
