ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
225,MONITORING WELL MW-17-225,SAN JOAQUIN RIVER,FRESNO,-120.539028,37.023313,116,US Bureau of Reclamation,San Joaquin River
49B,SJRRP MW-09-49B,SAN JOAQUIN RIVER,FRESNO,-120.2702,36.7712,171,US Bureau of Reclamation,San Joaquin River
5SI,SAN JOAQUIN 5-STATION PRECIP INDEX,SAN JOAQUIN RIVER,none specified,-119.583,37.74,0,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,San Joaquin River
ABR,AUBERRY 2 NW,SAN JOAQUIN RIVER,FRESNO,-119.5,37.083,"2,090",National Weather Service,San Joaquin River
AGP,AGNEW PASS,SAN JOAQUIN RIVER,MADERA,-119.141731,37.726631,"9,450",US Bureau of Reclamation,San Joaquin River
AGW,A.G. WISHON (PG&E),SAN JOAQUIN RIVER,MERCED,-119.505,37.151,"1,000",Pacific Gas & Electric,San Joaquin River
AMR,MERCED R AT AMSTERDAM RD,MERCED RIVER,MERCED,-120.53889,37.46806,173,Merced Irrigation District,San Joaquin River
ATS,ANTELOPE SPRINGS,MOKELUMNE RIVER,AMADOR,-120.467,38.503,"4,350",Amador Ranger District,San Joaquin River
AVY,NORTH FORK STANISLAUS NEAR AVERY,STANISLAUS RIVER,CALAVERAS,-120.290001,38.243889,"3,388",Northern California Power Agency,San Joaquin River
BAR,BEAR,MERCED RIVER,MARIPOSA,-120.217,37.367,319,US Army Corps of Engineers,San Joaquin River
BCC,BLACK CREEK NR COPPEROPOLIS,STANISLAUS RIVER,CALAVERAS,-120.615204,37.961037,746,US Geological Survey,San Joaquin River
BCO,BROWNS CREEK CONDUIT,SAN JOAQUIN RIVER,MADERA,-119.51984,37.28777,"3,514",Pacific Gas & Electric,San Joaquin River
BCQ,CHOWCHILLA R BLW BUCHANAN DAM,CHOWCHILLA RIVER,MADERA,-119.9903,37.2156,420,US Army Corps of Engineers,San Joaquin River
BDF,BADGER FLAT,SAN JOAQUIN RIVER,FRESNO,-119.108,37.265,"8,300","Southern California Edison Company, Big Creek",San Joaquin River
BDM,BALD MOUNTAIN (USBR),SAN JOAQUIN RIVER,FRESNO,-119.408577,37.063148,"4,720",US Bureau of Reclamation,San Joaquin River
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,SAN JOAQUIN RIVER,SAN JOAQUIN,-121.3231,37.865,0,CA Dept of Water Resources/Operations and Maintenance,San Joaquin River
BDV,BLACK RASCAL DIVERSION,MERCED RIVER,MERCED,-120.3944,37.3328,183,US Army Corps of Engineers,San Joaquin River
BEM,BELL MEADOW,TUOLUMNE RIVER,TUOLUMNE,-119.942,38.167,"6,500",Summit Ranger District,San Joaquin River
BEN,MOKELUMNE R @ BENSON'S FERRY NR THORNTON,MOKELUMNE RIVER,SAN JOAQUIN,-121.440086,38.255138,0,CA Dept of Water Resources/North Central Region Office,San Joaquin River
BGC,BIG CREEK 1,SAN JOAQUIN RIVER,FRESNO,-119.24,37.205,"4,878","Southern California Edison Company, Big Creek",San Joaquin River
BGF,BIG CK DIVERSION NR FISH CAMP,MERCED RIVER,MARIPOSA,-119.61417,37.46944,"5,400",Madera Irrigation District,San Joaquin River
BHP,BUCHANAN POOL,CHOWCHILLA RIVER,MADERA,-119.9844,37.2167,613,US Army Corps of Engineers,San Joaquin River
BHV,BEEHIVE MEADOW,TUOLUMNE RIVER,TUOLUMNE,-119.78,37.995,"6,500",Yosemite National Park,San Joaquin River
BIR,MIDDLE R AT BACON ISLAND RD,SAN JOAQUIN RIVER,SAN JOAQUIN,-121.53389,37.943056,10,CA Dept of Water Resources/North Central Region Office,San Joaquin River
BKM,BUCK MEADOWS,TUOLUMNE RIVER,TUOLUMNE,-120.0975,37.8233,"3,200",Hetch Hetchy Water and Power,San Joaquin River
BLD,BLOODS CREEK,STANISLAUS RIVER,ALPINE,-120.034882,38.451256,"7,200",US Bureau of Reclamation,San Joaquin River
BLK,BLUE LAKES,MOKELUMNE RIVER,ALPINE,-119.931,38.613,"8,000",Natural Resources Conservation Service,San Joaquin River
BLS,BLACK SPRINGS,STANISLAUS RIVER,CALAVERAS,-120.195,38.375881,"6,500",US Bureau of Reclamation,San Joaquin River
BLT,BEN BOLT,COSUMNES RIVER,EL DORADO,-121.017,38.586,"1,138",CA Dept of Forestry and Fire Protection,San Joaquin River
BNP,BOND PASS,TUOLUMNE RIVER,TUOLUMNE,-119.623,38.178,"9,300",Summit Ranger District,San Joaquin River
