ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
ACN,ACTON,SANTA CLARA RIVER,LOS ANGELES,-118.2,34.446,"2,600",Los Angeles County Fire Dept,South Coast
ALA,ALAMO POWER PLANT,SAN GABRIEL RIVER,LOS ANGELES,-118.2212,34.3209,"3,057",CA Dept of Water Resources/Operations and Maintenance,South Coast
ALO,ALISO CANYON,SANTA CLARA RIVER,VENTURA,-118.555,34.329,"2,780",Ventura County,South Coast
ANA,SANTA ANA FIRE STA,SANTA ANA RIVER,ORANGE,-117.867,33.75,135,National Weather Service,South Coast
ANM,SANTA ANA R NR MENTONE,SANTA ANA RIVER,SAN BERNARDINO,-117.1,34.108,"1,950",US Geological Survey,South Coast
ANZ,ANZA,SAN JACINTO RIVER,RIVERSIDE,-116.6744,33.5558,"3,920",CA Dept of Forestry and Fire Protection,South Coast
AOM,ALAMO MOUNTAIN,SANTA CLARA RIVER,VENTURA,-118.98,34.670277,"6,700",Ventura County,South Coast
API,ALPINE,SAN DIEGO RIVER,SAN DIEGO,-116.739,32.834,"2,041",US Forest Service,South Coast
ARS,ARROWHEAD SPRINGS HOTEL,LYTLE CREEK,SAN BERNARDINO,-117.264,34.184,"2,000",San Bernardino County,South Coast
ASP,ARROYO SECO (PASADENA),LOS ANGELES RIVER,LOS ANGELES,-118.177,34.222,"1,398",US Geological Survey,South Coast
BBE,BIG BEAR LAKE,SANTA ANA RIVER,SAN BERNARDINO,-116.891,34.247,"6,790",National Weather Service,South Coast
BDD,BIG DALTON DAM,SAN GABRIEL RIVER,LOS ANGELES,-117.808,34.17,"1,587",Los Angeles County,South Coast
BEC,BELL CANYON,SANTA ANA RIVER,ORANGE,-117.5731,33.5517,750,Orange County Fire Authority,South Coast
BHL,BEVERLY HILLS,LOS ANGELES RIVER,LOS ANGELES,-118.42,34.125,"1,260",Los Angeles County Fire Dept,South Coast
BHO,BORACHO SADDLE,SANTA CLARA RIVER,VENTURA,-118.908607,34.605278,"4,350",Ventura County,South Coast
BNA,BARONA,SAN DIEGO RIVER,SAN DIEGO,-116.84,32.999,"1,280",San Diego County,South Coast
BPF,BIG PINE FLAT,SANTA ANA RIVER,SAN BERNARDINO,-117.013,34.319,"6,861",US Forest Service,South Coast
BQC,BOUQUET CANYON,U SANTA CLARA RIVER,LOS ANGELES,-118.395314,34.586714,"3,008",Los Angeles County,South Coast
BRT,BARRETT,SAN DIEGO RIVER,SAN DIEGO,-116.669,32.678,"1,607",San Diego County,South Coast
BRV,BEAR VALLEY DAM,SANTA ANA RIVER,SAN BERNARDINO,-116.978,34.242,"6,743",Big Bear Municipal Water District,South Coast
CAG,CAMP ANGELUS,SANTA ANA RIVER,SAN BERNARDINO,-116.978,34.15,"5,780",San Bernardino County,South Coast
CAK,CASTAIC FIRE STATION 149,SANTA CLARA RIVER,LOS ANGELES,-118.615837,34.496667,"1,697",Los Angeles County,South Coast
CAS,CASTAIC,SANTA CLARA RIVER,LOS ANGELES,-118.6101,34.5152,"1,535",CA Dept of Water Resources/O&M Southern Field Division,South Coast
CAT,CATALINA - WRIGLEY MARINE SCIENCE CENTER,NOT SPECIFIED,LOS ANGELES,-118.482764,33.44617,121,Center for Western Weather and Water Extremes,South Coast
CCI,CALLEGUAS CREEK - CSU CHANNEL ISLANDS,SANTA CLARA RIVER,VENTURA,-119.04,34.18,70,US Geological Survey,South Coast
CEK,CLEAR CREEK RAWS,LOS ANGELES RIVER,LOS ANGELES,-118.153,34.271,"3,000",US Forest Service,South Coast
CFH,CRAFTON HILLS PUMPING STATION,SANTA ANA RIVER,SAN BERNARDINO,-117.04943,34.06721,"2,900",CA Dept of Water Resources/Operations and Maintenance,South Coast
CGS,COGSWELL RESERVOIR,SAN GABRIEL RIVER,LOS ANGELES,-117.965,34.245,"2,405",Los Angeles County,South Coast
CHE,CHEESEBORO,VENTURA LA COASTAL,VENTURA,-118.7172,34.1847,"1,650",National Park Service,South Coast
CIO,CHILAO,SAN GABRIEL RIVER,LOS ANGELES,-118.033,34.333,"5,450",US Forest Service,South Coast
CKC,CITY CREEK RANGER STATION,SANTA ANA RIVER,SAN BERNARDINO,-117.181,34.186,"2,610",San Bernardino County,South Coast
CMO,CLAREMONT,LOS ANGELES RIVER,LOS ANGELES,-117.707,34.137,"1,645",Los Angeles County Fire Dept,South Coast
CNA,CATALINA,NONE SPECIFIED,LOS ANGELES,-118.35225,33.35078,"1,407",Los Angeles County Fire Dept,South Coast
CNS,CRANSTON,SAN JACINTO RIVER,RIVERSIDE,-116.841,33.74,"1,950",US Forest Service,South Coast
CP9,CAMP 9,SANTA CLARA RIVER,LOS ANGELES,-118.4186,34.3532,"3,998",Los Angeles County Fire Dept,South Coast
CPA,CARPINTERIA CR A CALLE OCHO FOOTBRIDGE,S BARBARA COAST,SANTA BARBARA,-119.514275,34.392712,35,CA Dept of Water Resources/Southern Region Office,South Coast
CRK,CLARK TRAINING CENTER,SAN JACINTO RIVER,RIVERSIDE,-117.3042,33.8772,"1,720",CA Dept of Forestry and Fire Protection,South Coast
CRN,TEMESCAL WASH N OF CAJALCO ROAD,SANTA ANA RIVER,RIVERSIDE,-117.51041,33.82752,771,CA Dept of Water Resources/Southern Region Office,South Coast
CSI,CASITAS,VENTURA RIVER,VENTURA,-119.332,34.373,335,US Bureau of Reclamation,South Coast
CSK,CASTAIC CANYON CK Z3-2388,SANTA CLARA RIVER,LOS ANGELES,-118.6656,34.6061,"1,651",CA Dept of Water Resources/O&M Southern Field Division,South Coast
CSO,CASTAIC LAKE OUTLET (CAS00000),SANTA CLARA RIVER,LOS ANGELES,-118.611,34.527,"1,535",CA Dept of Water Resources/Operations and Maintenance,South Coast
CTP,CASTAIC POWERHOUSE,SANTA CLARA RIVER,LOS ANGELES,-118.65667,34.588612,"2,286",Los Angeles County,South Coast
CTR,CITRUS PUMP PLANT,SANTA ANA RIVER,SAN BERNARDINO,-117.133,34.0799,"1,640",CA Dept of Water Resources/Operations and Maintenance,South Coast
CUU,CHUCHUPATE,SANTA CLARA RIVER,VENTURA,-119.013336,34.806389,"5,280",Ventura County,South Coast
CUY,CUYAMACA DAM,SAN DIEGO RIVER,SAN DIEGO,-116.587,32.99,"4,641",National Weather Service,South Coast
CVY,CHERRY VALLEY PUMPING PLANT,SANTA ANA RIVER,RIVERSIDE,-117,33.9757,"2,759",CA Dept of Water Resources/Operations and Maintenance,South Coast
CXR,CIRCLE X RANCH,VENTURA RIVER,VENTURA,-118.936,34.109,"1,700",Ventura County,South Coast
DC2,DEVIL CANYON 2ND AFTERBAY (KA041275),SANTA ANA RIVER,SAN BERNARDINO,-117.3405,34.2305,"2,000",CA Dept of Water Resources/Operations and Maintenance,South Coast
DCP,DEVIL CANYON POWER PLANT,SANTA ANA RIVER,SAN BERNARDINO,-117.33267,34.19849,"1,939",CA Dept of Water Resources/Operations and Maintenance,South Coast
DEC,DEER CREEK DAM,LYTLE CREEK,SAN BERNARDINO,-117.502,34.169,"2,320",San Bernardino County,South Coast
DEV,DEVORE,LYTLE CREEK,SAN BERNARDINO,-117.404442,34.221111,"2,070",CA Dept of Forestry and Fire Protection,South Coast
DMV,DIAMOND VALLEY,SANTA MARGARITA RIVER,RIVERSIDE,-117.066,33.67,"1,756",Metropolitan Water District,South Coast
DSC,DESCANSO,SAN DIEGO RIVER,SAN DIEGO,-116.622,32.857,"3,480",US Forest Service,South Coast
DVL,DEL VALLE,SANTA CLARA RIVER,LOS ANGELES,-118.666,34.431,"1,278",Los Angeles County Fire Dept,South Coast
DYC,DAY CANYON,LYTLE CREEK,SAN BERNARDINO,-117.537,34.168,"2,240",San Bernardino County,South Coast
EBE,EAST BRANCH EXTENSION,SANTA ANA RIVER,SAN BENITO,-117.27144,34.173815,"1,042",CA Dept of Water Resources/State Water Project,South Coast
ECA,EL CARISO,SAN JACINTO RIVER,RIVERSIDE,-117.41,33.65,"3,038",US Forest Service,South Coast
ECC,ELIZABETH CANYON CK,SANTA CLARA RIVER,LOS ANGELES,-118.556,34.576,"1,680",CA Dept of Water Resources/O&M Southern Field Division,South Coast
ECR,EL CAPITAN RESERVOIR,SAN DIEGO RIVER,SAN DIEGO,-116.807,32.882,800,San Diego County,South Coast
ELC,EL CAPITAN DAM,SAN DIEGO RIVER,SAN DIEGO,-116.808,32.882,600,San Diego County,South Coast
ELH,EL RIO (RIO MESA HIGH SCHOOL),VENTURA RIVER,VENTURA,-119.143,34.2523,0,Ventura County,South Coast
ELS,ELSINORE,SANTA ANA RIVER,RIVERSIDE,-117.333,33.667,"1,285",CA Dept of Forestry and Fire Protection,South Coast
FBK,FALLBROOK WEATHER STATION,SANTA MARGARITA RIVER,SAN DIEGO,-117.286,33.382,879,US Navy,South Coast
