ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
1ST,KERN RIVER AT FIRST POINT,KERN RIVER,KERN,-118.922501,35.446667,470,City of Bakersfield,Tulare Lake
3RV,THREE RIVERS PH NO 1,KAWEAH RIVER,TULARE,-118.867,36.467,"1,140","Southern California Edison Company, Bishop",Tulare Lake
6SI,TULARE PRECIPITATION INDEX,TULARE LAKE,TULARE,-118.702,36.288,0,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,Tulare Lake
A2P,KERN RIVER CANAL AT ALT SECOND POINT,KERN RIVER,KERN,-119.154724,35.343613,350,City of Bakersfield,Tulare Lake
AMW,KINGS RIVER BELOW ARMY WEIR,KINGS RIVER,KINGS,-119.787,36.386,230,US Army Corps of Engineers,Tulare Lake
ASM,ASH MOUNTAIN,KAWEAH RIVER,TULARE,-118.833,36.483,"1,708",Sequoia and Kings Canyon National Parks,Tulare Lake
ATW,ATWELL CAMP,KAWEAH RIVER,TULARE,-118.631,36.464,"6,400",US Army Corps of Engineers,Tulare Lake
BAL,BALCH PH (PG&E),KINGS RIVER,FRESNO,-119.089,36.909,"1,720",Pacific Gas & Electric,Tulare Lake
BCB,BLACKCAP BASIN,KINGS RIVER,FRESNO,-118.77301,37.066685,"10,300",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
BCH,BEACH MEADOWS,KERN RIVER,TULARE,-118.293457,36.126095,"7,650",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
BCS,BACK CANYON (SOUTH),CALIENTE CREEK,KERN,-118.36,35.309,"3,490",Kern County,Tulare Lake
BFK,BAKERSFIELD AIRPORT,TULARE LAKE,KERN,-119.054,35.434,494,National Weather Service,Tulare Lake
BGH,BIGHORN PLATEAU,KERN RIVER,TULARE,-118.377,36.615,"11,350",CA Dept of Water Resources,Tulare Lake
BHM,BEACH MEADOWS,KERN RIVER,TULARE,-118.293,36.122,"7,650",Kern River Ranger District,Tulare Lake
BIM,BIG MEADOWS (DWR),KINGS RIVER,TULARE,-118.843773,36.715225,"7,600",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
BKE,BRECKENRIDGE,KERN RIVER,KERN,-118.5839,35.4506,"7,548",US Bureau of Land Management,Tulare Lake
BKK,BLACKROCK,KERN RIVER,TULARE,-118.261,36.093,"8,200",US Forest Service,Tulare Lake
BLF,BULLFROG LAKE,KINGS RIVER,FRESNO,-118.398,36.77,"10,650",CA Dept of Water Resources,Tulare Lake
BMC,BURNING MOSCOW,KERN RIVER,KERN,-118.2547,35.4656,"5,920",Kern County,Tulare Lake
BMD,BEARD MEADOW,KINGS RIVER,FRESNO,-118.837,37.113,"9,800","Pacific Gas and Electric Company, Auberry",Tulare Lake
BMS,BIG MEADOWS,KINGS RIVER,TULARE,-118.848558,36.715311,"7,619",Kings River Water Association,Tulare Lake
BNH,BENCH LAKE,KINGS RIVER,FRESNO,-118.445,36.958,"10,600",Kings River Water Association,Tulare Lake
BNM,BONITA MEADOWS,KERN RIVER,TULARE,-118.328,36.038,"8,300",Kern River Ranger District,Tulare Lake
BOP,BOREL POOL,KERN RIVER,KERN,-118.4683,35.6431,"2,635",US Army Corps of Engineers,Tulare Lake
BPM,BIG PINE MEADOW,KERN RIVER,KERN,-118.063,35.947,"7,340",Kern County,Tulare Lake
BRM,BEAR TRAP MEADOW,KAWEAH RIVER,TULARE,-118.858,36.676,"6,800",US Army Corps of Engineers,Tulare Lake
BRP,BEAR PEAK,KERN RIVER,TULARE,-118.052,35.884,"8,228",US Bureau of Land Management,Tulare Lake
BSH,BISHOP PASS,KINGS RIVER,FRESNO,-118.557,37.1,"11,200",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
BVT,BUENA VISTA PUMPING PLANT,TULARE LAKE WESTSIDE,KERN,-119.346481,35.161446,295,CA Dept of Water Resources/Operations and Maintenance,Tulare Lake
BWH,BIG WHITNEY MEADOW,KERN RIVER,TULARE,-118.256738,36.438292,"9,750",CA Dept of Water Resources,Tulare Lake
CAN,CANTUA CREEK NEAR CANTUA CREEK,CANTUA CREEK,FRESNO,-120.433,36.405,680,US Geological Survey,Tulare Lake
CBT,CRABTREE MEADOW,KERN RIVER,TULARE,-118.347946,36.563683,"10,700",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
CHP,CHAGOOPA PLATEAU,KERN RIVER,TULARE,-118.446716,36.497143,"10,300",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
CLN,COALINGA,SAN JOAQUIN RIVER,FRESNO,-120.361,36.136,670,National Weather Service,Tulare Lake
CLT,CHARLOTTE RIDGE,KINGS RIVER,FRESNO,-118.415,36.77,"10,700",CA Dept of Water Resources,Tulare Lake
CMA,CASE MOUNTAIN,KAWEAH RIVER,TULARE,-118.809,36.411,"6,450",US Bureau of Land Management,Tulare Lake
CRH,CROSS CK AT HOUSTON,KINGS RIVER,KINGS,-119.531387,36.329505,250,US Army Corps of Engineers,Tulare Lake
CRL,CHARLOTTE LAKE,KINGS RIVER,FRESNO,-118.42601,36.777523,"10,400",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
CSV,CASA VIEJA MEADOWS,KERN RIVER,TULARE,-118.267685,36.198097,"8,300",CA Dept of Water Resources/DFM-Hydro-SMN,Tulare Lake
CSW,KINGS RIVER BELOW CRESCENT WEIR,KINGS RIVER,KINGS,-119.876,36.387,215,US Army Corps of Engineers,Tulare Lake
CTG,COURTRIGHT (PG&E),KINGS RIVER,FRESNO,-118.967,37.072,"8,192",PG&E and Kings River Water Association,Tulare Lake
CUR,COURTRIGHT,KINGS RIVER,FRESNO,-118.965,37.072,"8,350","Pacific Gas and Electric Company, Auberry",Tulare Lake
CWP,COTTONWOOD PASS,KERN RIVER,TULARE,-118.219401,36.449653,"11,050",CA Dept of Water Resources,Tulare Lake
DEM,DEMOCRAT,KERN RIVER,KERN,-118.13,35.532,"2,356",US Forest Service,Tulare Lake
DHM,DEAD HORSE MEADOW,KERN RIVER,TULARE,-118.587,35.873,"7,300",Western Divide Ranger District,Tulare Lake
DKS,DINKEY CK SIPHON,KINGS RIVER,FRESNO,-119.1242,36.9081,"1,320",Pacific Gas & Electric,Tulare Lake
DKY,DINKEY,KINGS RIVER,FRESNO,-119.03944,37.06639,"5,668",US Forest Service,Tulare Lake
DSM,DODSONS MEADOW,KINGS RIVER,FRESNO,-118.958,37.092,"8,050","Pacific Gas and Electric Company, Auberry",Tulare Lake
DSR,JT14 DOYLE SPRINGS DIVERSION,TULE RIVER,TULARE,-118.66596,36.189,"3,940","Pacific Gas and Electric Company, Auberry",Tulare Lake
DTW,DEER CK AT TRENTON WEIR,TULARE LAKE,TULARE,-119.1808,35.9461,395,US Army Corps of Engineers,Tulare Lake
EDA,LOS GATOS CREEK AT EL DORADO AVENUE,LOS GATOS CR (NEAR COALINGA),FRESNO,-120.209,36.167,490,CA Dept of Water Resources/South Central Region Office,Tulare Lake
EDP,EDMONSTON PUMPING PLANT,TEHACHAPI MOUNTAINS,KERN,-118.824,34.943,"1,247",CA Dept of Water Resources/Operations and Maintenance,Tulare Lake
EGL,EAGLE CREEK,TULE RIVER,TULARE,-118.641,35.983,"6,700",US Army Corps of Engineers,Tulare Lake
FCH,FANCHER CREEK,KINGS RIVER,FRESNO,-119.4658,36.8839,920,CA Dept of Forestry and Fire Protection,Tulare Lake
